Site,Latitude,Longitude,target,seasonal_naive,harmonic_regression,last_slope_hold
Bedrock,66.70400000000001,-150.71099999999998,soil_temperature_0_to_7cm,5.537015092172309,5.121474933598245,12.842184155819005
Bedrock,66.70400000000001,-150.71099999999998,soil_moisture_0_to_7cm,0.04764294893017935,0.038490751889113495,0.056946903393517385
Bedrock,66.70400000000001,-150.62099999999998,soil_temperature_0_to_7cm,6.011507069140929,4.951346979235204,20.874943344525043
Bedrock,66.70400000000001,-150.62099999999998,soil_moisture_0_to_7cm,0.05351027861160247,0.049032403296151,0.05358248975386692
Bedrock,66.70400000000001,-150.53099999999998,soil_temperature_0_to_7cm,6.011507043578043,4.95134696449434,20.87494292097823
Bedrock,66.70400000000001,-150.53099999999998,soil_moisture_0_to_7cm,0.05351027861160247,0.049032403296151,0.05358248975386692
Bedrock,66.70400000000001,-150.44099999999997,soil_temperature_0_to_7cm,6.220487579335891,5.222148417467828,19.161058134609334
Bedrock,66.70400000000001,-150.44099999999997,soil_moisture_0_to_7cm,0.04828226065399234,0.04388073772412122,0.05085736848079685
Bedrock,66.70400000000001,-150.351,soil_temperature_0_to_7cm,5.482541813505168,4.39545456755629,22.618258911932653
Bedrock,66.70400000000001,-150.351,soil_moisture_0_to_7cm,0.03720612943438699,0.029655199506837756,0.0965599900858514
Bedrock,66.70400000000001,-150.261,soil_temperature_0_to_7cm,5.482541746756056,4.39545454853899,22.61825777963271
Bedrock,66.70400000000001,-150.261,soil_moisture_0_to_7cm,0.03720612943438699,0.029655199506837756,0.0965599900858514
Bedrock,66.70400000000001,-150.171,soil_temperature_0_to_7cm,4.969008114326717,3.965615543830847,12.754704463601039
Bedrock,66.70400000000001,-150.171,soil_moisture_0_to_7cm,0.03299416882149689,0.02058016554090391,0.16475609084721174
Bedrock,66.70400000000001,-150.081,soil_temperature_0_to_7cm,4.96900816304646,3.9656155449393364,12.754705378634299
Bedrock,66.70400000000001,-150.081,soil_moisture_0_to_7cm,0.03299416882149689,0.02058016554090391,0.16475609084721174
Bedrock,66.794,-150.71099999999998,soil_temperature_0_to_7cm,5.537015092172309,5.121474933598245,12.842184155819005
Bedrock,66.794,-150.71099999999998,soil_moisture_0_to_7cm,0.04764294893017935,0.038490751889113495,0.056946903393517385
Bedrock,66.794,-150.62099999999998,soil_temperature_0_to_7cm,5.837835586641268,5.409284530651571,13.039652685512857
Bedrock,66.794,-150.62099999999998,soil_moisture_0_to_7cm,0.046926052912895574,0.03868709239927838,0.061848041604084886
Bedrock,66.794,-150.53099999999998,soil_temperature_0_to_7cm,5.8378356000493765,5.409284542266867,13.039652865108838
Bedrock,66.794,-150.53099999999998,soil_moisture_0_to_7cm,0.046926052912895574,0.03868709239927838,0.061848041604084886
Bedrock,66.794,-150.44099999999997,soil_temperature_0_to_7cm,6.220487546104459,5.222148409682584,19.16105735346725
Bedrock,66.794,-150.44099999999997,soil_moisture_0_to_7cm,0.04828226065399234,0.04388073772412122,0.05085736848079685
Bedrock,66.794,-150.351,soil_temperature_0_to_7cm,3.72094377999726,3.4072627793123633,9.907320386420855
Bedrock,66.794,-150.351,soil_moisture_0_to_7cm,0.03932459098676295,0.03237120921648121,0.03545257550323426
Bedrock,66.794,-150.261,soil_temperature_0_to_7cm,4.969008114326717,3.965615543830847,12.754704463601039
Bedrock,66.794,-150.261,soil_moisture_0_to_7cm,0.03299416882149689,0.02058016554090391,0.16475609084721174
Bedrock,66.794,-150.171,soil_temperature_0_to_7cm,4.969008114326717,3.965615543830847,12.754704463601039
Bedrock,66.794,-150.171,soil_moisture_0_to_7cm,0.03299416882149689,0.02058016554090391,0.16475609084721174
Bedrock,66.794,-150.081,soil_temperature_0_to_7cm,4.803834403961712,4.094898090757198,9.199478647038102
Bedrock,66.794,-150.081,soil_moisture_0_to_7cm,0.030519982320371338,0.0181070529180517,0.17859831326912265
Bedrock,66.884,-150.71099999999998,soil_temperature_0_to_7cm,5.945528263012109,5.6709848356624,14.205349852544185
Bedrock,66.884,-150.71099999999998,soil_moisture_0_to_7cm,0.04955455463019082,0.0410600436524524,0.0411486516636599
Bedrock,66.884,-150.62099999999998,soil_temperature_0_to_7cm,5.837835586641268,5.409284530651571,13.039652685512857
Bedrock,66.884,-150.62099999999998,soil_moisture_0_to_7cm,0.046926052912895574,0.03868709239927838,0.061848041604084886
Bedrock,66.884,-150.53099999999998,soil_temperature_0_to_7cm,6.429143622368083,5.179133634067878,19.03473972940794
Bedrock,66.884,-150.53099999999998,soil_moisture_0_to_7cm,0.05438071861799994,0.04003534365154692,0.0697905141004279
Bedrock,66.884,-150.44099999999997,soil_temperature_0_to_7cm,6.876763409722958,5.583871869462104,24.94491210483282
Bedrock,66.884,-150.44099999999997,soil_moisture_0_to_7cm,0.05188985985929716,0.04394492751305946,0.04756677359683237
Bedrock,66.884,-150.351,soil_temperature_0_to_7cm,6.74481672096032,5.119728115704223,31.951461926590493
Bedrock,66.884,-150.351,soil_moisture_0_to_7cm,0.03628742777144656,0.028178597464330934,0.03199102824146546
Bedrock,66.884,-150.261,soil_temperature_0_to_7cm,6.744816747518815,5.119728127299505,31.951462150699548
Bedrock,66.884,-150.261,soil_moisture_0_to_7cm,0.03628742777144656,0.028178597464330934,0.03199102824146546
Bedrock,66.884,-150.171,soil_temperature_0_to_7cm,6.939849249450354,5.5953118581152825,26.99370297307359
Bedrock,66.884,-150.171,soil_moisture_0_to_7cm,0.04906343648043582,0.041000192700812114,0.060482248940584585
Bedrock,66.884,-150.081,soil_temperature_0_to_7cm,4.803834405093441,4.094898097987151,9.199478687679603
Bedrock,66.884,-150.081,soil_moisture_0_to_7cm,0.030519982320371338,0.0181070529180517,0.17859831326912265
Transition,67.08500000000001,-151.274,soil_temperature_0_to_7cm,4.68838503901057,4.358269770730526,11.879875418429284
Transition,67.08500000000001,-151.274,soil_moisture_0_to_7cm,0.05158849855222093,0.042730404440691094,0.10444863494776109
