arch,tier,target,n_subsets,strategy,subset_val_r2s,combined_val_r2,fine_tune_r2,std_R2,space_R2,time_R2,both_R2,train_time_s,eval_time_s,total_time_s,combine_time_s
GraphSAGE,GRAPH,moist,8,momentum,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.2156, 0.08]",-74.213,0.3446,0.3456,0.3446,0.3456,0.3446,474.6,28.0,607.7,105.1
GraphSAGE,GRAPH,moist,8,belief,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.2156, 0.08]",-74.213,0.3594,0.3578,0.3594,0.3578,0.3594,474.6,27.3,610.2,108.3
GCN_NoTemporal,STANDALONE,moist,1,baseline,[0.7186],0.7186,0.7186,0.7359,0.7186,0.7359,0.7186,77.9,27.0,104.9,
GCN_NoTemporal,STANDALONE,moist,2,fedavg,"[-99.0, 0.6006]",-49.1997,0.6632,0.6651,0.6632,0.6651,0.6632,51.3,27.1,109.3,30.8
GCN_NoTemporal,STANDALONE,moist,2,weighted,"[-99.0, 0.6006]",-49.1997,0.6707,0.6725,0.6707,0.6725,0.6707,51.3,27.8,110.1,31.0
GCN_NoTemporal,STANDALONE,moist,2,momentum,"[-99.0, 0.6006]",-49.1997,0.6745,0.6764,0.6745,0.6764,0.6745,51.3,26.5,108.5,30.7
GCN_NoTemporal,STANDALONE,moist,2,belief,"[-99.0, 0.6006]",-49.1997,0.6604,0.66,0.6604,0.66,0.6604,51.3,26.9,108.9,30.6
GCN_NoTemporal,STANDALONE,moist,4,fedavg,"[-99.0, -99.0, -99.0, 0.5727]",-74.1068,0.6641,0.6654,0.6641,0.6654,0.6641,142.5,26.4,198.5,29.6
GCN_NoTemporal,STANDALONE,moist,4,weighted,"[-99.0, -99.0, -99.0, 0.5727]",-74.1068,0.6729,0.6776,0.6729,0.6776,0.6729,142.5,26.2,198.7,30.1
GCN_NoTemporal,STANDALONE,moist,4,momentum,"[-99.0, -99.0, -99.0, 0.5727]",-74.1068,0.6716,0.6765,0.6716,0.6765,0.6716,142.5,26.5,198.8,29.8
GCN_NoTemporal,STANDALONE,moist,4,belief,"[-99.0, -99.0, -99.0, 0.5727]",-74.1068,0.6653,0.6656,0.6653,0.6656,0.6653,142.5,26.5,198.9,29.9
GCN_NoTemporal,STANDALONE,moist,8,fedavg,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.6785, 0.4066]",-74.1144,0.6736,0.6801,0.6736,0.6801,0.6736,157.9,27.2,215.0,29.9
GCN_NoTemporal,STANDALONE,moist,8,weighted,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.6785, 0.4066]",-74.1144,0.6864,0.6938,0.6864,0.6938,0.6864,157.9,26.5,214.4,30.0
