arch,n_workers,round,global_rmse,global_r2,uncertainty_U,gamma,round_time_s,ideal_worker_time_s,worker_1_loss,worker_1_alpha,worker_1_beta,worker_1_stability,worker_1_progress,worker_1_consensus,worker_2_loss,worker_2_alpha,worker_2_beta,worker_2_stability,worker_2_progress,worker_2_consensus,worker_3_loss,worker_3_alpha,worker_3_beta,worker_3_stability,worker_3_progress,worker_3_consensus,worker_4_loss,worker_4_alpha,worker_4_beta,worker_4_stability,worker_4_progress,worker_4_consensus,worker_5_loss,worker_5_alpha,worker_5_beta,worker_5_stability,worker_5_progress,worker_5_consensus,worker_6_loss,worker_6_alpha,worker_6_beta,worker_6_stability,worker_6_progress,worker_6_consensus,worker_7_loss,worker_7_alpha,worker_7_beta,worker_7_stability,worker_7_progress,worker_7_consensus,worker_8_loss,worker_8_alpha,worker_8_beta,worker_8_stability,worker_8_progress,worker_8_consensus
STGCN,2,16,0.7734,0.9085,0.813,0.7809,14.38,7.19,0.0813,0.5,0.6119,0.0128,0.0,0.1521,1.3674,0.5,0.7004,0.0266,0.0,0.1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,2,17,0.9763,0.8541,0.7977,0.6258,14.83,7.41,0.2708,0.5,0.6821,0.1353,0.0,0.082,0.1567,0.5,0.673,0.0623,0.0,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,2,18,0.8246,0.8959,0.7995,0.6256,13.95,6.98,-0.1603,0.5009,0.662,0.0386,1.3929,0.0884,-0.5436,0.4991,0.6891,0.0816,0.1564,0.0884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,4,1,2.5548,0.0012,1.0626,0.7597,25.12,6.28,0.259,0.2499,0.8147,0.1124,0.0,0.1754,1.0945,0.2499,0.7385,0.1398,0.0,0.2463,1.4449,0.2503,0.7744,0.0981,0.0685,0.2242,0.9876,0.2499,0.7443,0.1643,0.0,0.2211,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,4,2,2.5471,0.0071,1.0736,0.7587,25.34,6.33,0.5639,0.25,0.759,-0.0224,0.5252,0.2555,0.8462,0.25,0.7545,0.0662,0.0,0.2533,1.0056,0.25,0.7564,0.0714,0.0,0.2591,1.9083,0.25,0.698,0.0076,0.0,0.301,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,4,3,2.4435,0.0863,1.0494,0.7608,24.13,6.03,1.2804,0.2491,0.6888,-0.0473,0.0,0.3114,0.0305,0.2491,0.8202,-0.0105,0.9452,0.217,0.1743,0.2528,0.7193,0.0629,0.8003,0.2953,1.0055,0.2491,0.7234,0.0394,0.0,0.2853,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,4,4,2.1269,0.3077,1.04,0.7616,24.9,6.22,0.4205,0.2452,0.6548,0.0543,0.0,0.4317,-0.0506,0.2499,0.6105,0.0382,1.0586,0.4676,-0.2938,0.2581,0.6698,0.0797,1.5245,0.4208,0.3173,0.2467,0.6657,0.0196,0.7131,0.424,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,4,5,1.5057,0.653,0.995,0.7654,24.89,6.22,0.5592,0.2451,0.6059,0.1573,0.0,0.4884,0.0562,0.2485,0.5984,0.0319,0.8722,0.5001,0.1015,0.2514,0.6538,0.068,0.806,0.4658,0.5298,0.255,0.6631,0.1419,0.6529,0.4312,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,4,6,1.2022,0.7788,0.9658,0.7679,24.82,6.2,0.0227,0.2461,0.6357,0.1827,0.0,0.4275,0.7832,0.2461,0.6939,0.1728,0.0,0.388,0.4369,0.2517,0.6709,0.067,0.8046,0.4139,-0.1883,0.256,0.6786,0.0888,1.1503,0.3856,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,4,7,1.0403,0.8344,0.9319,0.7708,24.86,6.22,-0.0009,0.2577,0.6919,0.1266,1.0042,0.3199,0.2463,0.2474,0.7753,0.1468,0.0,0.2456,0.4054,0.2474,0.7177,0.1359,0.0,0.3211,0.1115,0.2474,0.7372,0.0533,0.0,0.2716,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,4,8,0.883,0.8807,0.9362,0.7704,24.97,6.24,0.8398,0.2462,0.7807,0.0417,0.0,0.2358,-0.1125,0.2529,0.6779,0.0731,1.1678,0.3163,-0.0583,0.2546,0.7604,0.1241,1.0716,0.253,1.0834,0.2462,0.7749,0.0773,0.0,0.2131,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,4,9,0.7927,0.9038,0.9236,0.7715,24.44,6.11,0.0962,0.2431,0.7922,0.1421,0.0,0.1618,-0.1018,0.2431,0.7852,-0.0045,6.5235,0.1739,-0.2988,0.2431,0.7896,-0.015,1.8652,0.1861,-0.1366,0.2707,0.7776,0.1583,3.6909,0.1843,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,4,10,0.8547,0.8882,0.9192,0.6175,25.14,6.28,1.4618,0.2501,0.801,0.1606,0.4455,0.1348,-0.0865,0.2497,0.793,0.0247,2.1686,0.1451,0.0717,0.2525,0.7991,0.1462,0.9265,0.1406,0.5699,0.2477,0.8306,0.0401,0.0,0.1171,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,4,11,0.7855,0.9056,0.9286,0.7711,25.62,6.4,-0.0036,0.2455,0.8083,0.1137,0.0,0.1593,1.2111,0.2455,0.7873,0.0726,0.0,0.1708,0.2681,0.2471,0.776,0.1696,0.2198,0.1725,-0.3581,0.262,0.7914,0.1496,2.6066,0.1665,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,4,12,0.7572,0.9122,0.8966,0.7738,24.83,6.21,0.0753,0.2492,0.787,0.1234,0.0,0.1748,0.3115,0.2492,0.8082,0.0381,0.0,0.1499,1.4268,0.2492,0.7597,0.1388,0.0,0.183,0.0017,0.2523,0.837,0.1271,0.9953,0.0962,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,4,13,0.758,0.9121,0.895,0.7739,24.29,6.07,0.1054,0.2449,0.7862,0.0045,0.759,0.172,0.1497,0.2448,0.7554,0.1129,0.0,0.2151,-0.2717,0.2595,0.7724,0.1288,2.3159,0.1957,-0.0973,0.2508,0.8223,0.0842,2.1753,0.1328,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,4,14,0.7163,0.9215,0.8826,0.775,24.6,6.15,-0.2988,0.2485,0.84,0.0255,0.0,0.0841,0.7869,0.2485,0.8281,0.1418,0.0,0.1159,-0.0975,0.2532,0.8008,0.1096,1.2573,0.1359,-0.5375,0.2498,0.7915,0.0196,2.1214,0.1264,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,4,15,0.7699,0.9093,0.873,0.6206,25.2,6.3,-0.1496,0.2537,0.8193,0.1426,1.4745,0.0985,0.6289,0.2485,0.8056,0.0765,0.0,0.1021,-0.3591,0.2493,0.8548,0.0305,2.1856,0.0494,-0.1196,0.2485,0.8482,0.1038,0.0,0.0563,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,4,16,0.6578,0.9338,0.8751,0.7756,24.85,6.21,0.6019,0.2473,0.8077,-0.0029,0.0,0.1116,0.4023,0.2473,0.8259,-0.0526,0.0,0.0868,-0.3984,0.2572,0.8346,0.11,3.6446,0.0984,-0.3868,0.2482,0.8436,0.0929,0.7459,0.05,,,,,,,,,,,,,,,,,,,,,,,,
